,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,New Norfolk,77,AU,1602181378,93,-42.78,147.06,52.0,1.21
1,Geraldton,1,AU,1602181378,93,-28.77,114.6,53.6,8.05
2,Illapel,2,CL,1602181378,29,-31.63,-71.17,75.87,9.31
3,Ekangala,0,ZA,1602181378,56,-25.7,28.75,69.8,5.82
4,Busselton,88,AU,1602181378,73,-33.65,115.33,52.0,5.53
5,Kapaa,40,US,1602181132,74,22.08,-159.32,80.6,6.93
6,Camacha,40,PT,1602181378,73,33.08,-16.33,73.4,6.93
7,Meadow Lake,1,US,1602181379,13,34.8,-106.54,77.0,5.44
8,Punta Arenas,40,CL,1602181379,50,-53.15,-70.92,53.6,34.45
9,Beloha,0,MG,1602181379,81,-25.17,45.05,64.13,7.49
10,Hithadhoo,78,MV,1602181379,73,-0.6,73.08,83.03,7.78
11,Rikitea,26,PF,1602181204,79,-23.12,-134.97,73.56,18.59
12,Albany,54,US,1602181171,44,42.6,-73.97,59.0,1.01
13,Severo-Kuril'sk,41,RU,1602181379,80,50.68,156.12,46.2,16.35
14,Palmer,20,US,1602181380,39,42.16,-72.33,60.8,11.41
15,Ushuaia,75,AR,1602181205,65,-54.8,-68.3,46.4,20.8
16,Bredasdorp,67,ZA,1602181380,93,-34.53,20.04,57.2,14.99
17,Megion,100,RU,1602181380,96,61.03,76.11,32.0,6.71
18,Caravelas,0,BR,1602181380,66,-17.71,-39.25,83.43,13.31
19,Chilmāri,16,BD,1602181381,75,25.56,89.67,82.24,3.83
20,Vaini,40,TO,1602181381,100,-21.2,-175.2,73.4,3.36
21,Nome,75,US,1602181381,81,64.5,-165.41,45.0,18.34
22,Atuona,1,PF,1602181381,75,-9.8,-139.03,77.88,19.44
23,Vardø,75,NO,1602181381,81,70.37,31.11,51.8,17.22
24,Cidreira,46,BR,1602181381,64,-30.18,-50.21,64.72,11.92
25,Saint-Philippe,75,RE,1602181382,94,-21.36,55.77,73.4,4.7
26,Butaritari,3,KI,1602181382,79,3.07,172.79,82.15,14.29
27,Yellowknife,90,CA,1602181382,100,62.46,-114.35,37.99,10.29
28,Puerto Ayora,40,EC,1602181228,57,-0.74,-90.35,78.8,10.04
29,Nalhāti,1,IN,1602181382,81,24.3,87.82,80.82,1.23
30,Hermanus,37,ZA,1602181382,88,-34.42,19.23,57.0,1.01
31,Provideniya,100,RU,1602181383,94,64.38,-173.3,40.96,13.76
32,Guerrero Negro,0,MX,1602181288,50,27.98,-114.06,80.38,15.43
33,Cherskiy,95,RU,1602181383,98,68.75,161.3,28.27,16.93
34,Lavrentiya,100,RU,1602181383,94,65.58,-171.0,40.44,22.35
35,Katobu,35,ID,1602181383,95,-4.94,122.53,75.51,3.13
36,Airai,99,TL,1602181383,100,-8.93,125.41,61.29,2.13
37,Port Alfred,64,ZA,1602181384,83,-33.59,26.89,66.24,9.51
38,Kita,58,ML,1602181384,67,13.03,-9.49,85.68,3.2
39,Cockburn Town,0,TC,1602181384,73,21.46,-71.14,83.23,11.45
40,Cairns,100,AU,1602181171,82,-16.92,145.77,68.0,5.7
41,Dikson,99,RU,1602181384,94,73.51,80.55,31.77,20.49
42,Port Hedland,0,AU,1602181385,55,-20.32,118.57,64.4,5.82
43,Idrinskoye,100,RU,1602181385,92,54.37,92.14,30.16,5.66
44,Lüderitz,0,NA,1602181385,74,-26.65,15.16,59.11,21.63
45,Port Hardy,90,CA,1602181385,100,50.7,-127.42,50.0,4.7
46,Long Beach,90,US,1602181338,56,33.77,-118.19,73.4,5.82
47,Bethel,1,US,1602181385,41,41.37,-73.41,62.01,11.41
48,Codrington,100,AU,1602181386,85,-38.27,141.97,50.49,18.84
49,Jamestown,90,US,1602181285,58,42.1,-79.24,57.0,14.99
50,Cape Town,75,ZA,1602181130,87,-33.93,18.42,62.01,20.8
51,Mataura,4,NZ,1602181386,92,-46.19,168.86,33.01,1.99
52,Padang,100,ID,1602181386,80,-0.95,100.35,75.52,2.64
53,Chui,0,UY,1602181387,42,-33.7,-53.46,60.98,8.72
54,Tuktoyaktuk,90,CA,1602181387,97,69.45,-133.04,33.8,9.17
55,Nahrin,0,AF,1602181387,56,36.06,69.13,44.51,0.83
56,San Jerónimo,63,PE,1602181387,41,-11.95,-75.28,61.39,5.19
57,Scottsbluff,1,US,1602181364,37,41.87,-103.67,68.0,6.33
58,Lorengau,68,PG,1602181387,79,-2.02,147.27,80.62,1.48
59,Paita,34,PE,1602181390,64,-5.09,-81.11,75.2,13.87
60,Carballo,59,ES,1602181390,77,43.21,-8.69,62.6,2.24
61,Nikolskoye,75,RU,1602181390,87,59.7,30.79,55.4,4.47
62,Shubarkuduk,0,KZ,1602181390,58,49.14,56.49,41.0,11.79
63,Esperance,40,AU,1602181390,100,-33.87,121.9,51.8,8.05
64,Pallasovka,12,RU,1602181390,41,50.05,46.88,52.36,7.9
65,Constitución,67,CL,1602181390,54,-35.33,-72.42,59.88,17.94
66,Maïné Soroa,20,NE,1602181391,29,13.21,12.02,94.71,4.36
67,Atar,0,MR,1602181391,37,20.52,-13.05,102.2,20.8
68,Tiksi,13,RU,1602181391,92,71.69,128.87,14.54,13.89
69,Touros,73,BR,1602181303,55,-5.2,-35.46,86.0,13.87
70,Klaksvík,6,FO,1602181391,81,62.23,-6.59,42.8,8.05
71,Lompoc,90,US,1602181327,82,34.64,-120.46,60.8,4.7
72,Muisne,40,EC,1602181391,70,0.6,-80.03,84.2,9.17
73,Yulara,0,AU,1602181392,54,-25.24,130.99,53.6,8.05
74,Xichang,93,CN,1602181392,75,27.9,102.26,63.05,2.98
75,George Town,40,MY,1602181392,94,5.41,100.34,78.8,3.36
76,Tucuruí,50,BR,1602181329,24,-3.77,-49.67,102.22,4.92
77,Hong Kong,36,HK,1602181176,70,22.29,114.16,75.99,12.26
78,Tiznit Province,0,MA,1602181392,40,29.58,-9.5,76.6,4.7
79,Coelho Neto,13,BR,1602181392,15,-4.26,-43.01,106.12,3.4
80,Hammerfest,71,NO,1602181393,66,70.66,23.68,55.4,18.34
81,Waipawa,6,NZ,1602181393,81,-41.41,175.52,44.6,3.36
82,Thompson,75,CA,1602181393,59,55.74,-97.86,35.6,2.24
83,Ribeira Grande,40,PT,1602181393,88,38.52,-28.7,71.6,8.05
84,Bluff,6,NZ,1602181393,92,-46.6,168.33,33.01,1.99
85,Hobart,90,AU,1602181124,100,-42.88,147.33,52.0,3.36
86,Kapoeta,48,SS,1602181394,37,4.77,33.59,84.4,8.25
87,Diplo,1,PK,1602181394,58,24.47,69.58,84.25,10.49
88,West Bay,40,KY,1602181394,78,19.37,-81.42,84.0,4.7
89,Leningradskiy,100,RU,1602181394,98,69.38,178.42,32.14,13.44
90,Margate,100,GB,1602181394,87,51.38,1.39,55.0,10.8
91,Evensk,0,RU,1602181394,85,61.95,159.23,30.6,9.91
92,Nicolás Bravo,40,MX,1602181395,66,18.45,-88.92,87.8,3.06
93,Ostrovnoy,100,RU,1602181395,89,68.05,39.51,48.47,11.63
94,Sørkjosen,40,NO,1602181395,71,69.8,20.93,53.6,14.99
95,Bakchar,80,RU,1602181395,99,57.02,82.07,26.42,7.45
